168	B.cenocepacia_MC0-3_Asp/Glu/hydantoin
169	B.cenocepacia_MC0-3_antibiotic
170	B.cenocepacia_MC0-3_xanthine
171	B.cenocepacia_MC0-3_selenocysteine-specific
172	B.cenocepacia_MC0-3_formate
173	B.cenocepacia_MC0-3_molybdopterin
174	B.cenocepacia_MC0-3_UTP-glucose-1-phosphate
175	B.cenocepacia_MC0-3_acyltransferase
176	B.cenocepacia_MC0-3_GDP-mannose
177	B.cenocepacia_MC0-3_RNA-directed
178	B.cenocepacia_MC0-3_amidophosphoribosyltransferase
179	B.cenocepacia_MC0-3_colicin
180	B.cenocepacia_MC0-3_FolC
181	B.cenocepacia_MC0-3_tryptophan
182	B.cenocepacia_MC0-3_DNA
183	B.cenocepacia_MC0-3_N-(5'-phosphoribosyl)anthranilate
184	B.cenocepacia_MC0-3_tRNA
185	B.cenocepacia_MC0-3_3-isopropylmalate
186	B.cenocepacia_MC0-3_isopropylmalate
187	B.cenocepacia_MC0-3_glutathione
188	B.cenocepacia_MC0-3_dimethylargininase
189	B.cenocepacia_MC0-3_glyoxalase/bleomycin
190	B.cenocepacia_MC0-3_succinate
191	B.cenocepacia_MC0-3_GntR
192	B.cenocepacia_MC0-3_malate
193	B.cenocepacia_MC0-3_2-methylcitrate
194	B.cenocepacia_MC0-3_aconitate
195	B.cenocepacia_MC0-3_spermidine/putrescine
196	B.cenocepacia_MC0-3_lipase
197	B.cenocepacia_MC0-3_TonB-dependent
198	B.cenocepacia_MC0-3_cytochrome
199	B.cenocepacia_MC0-3_6-phosphogluconate
200	B.cenocepacia_MC0-3_luciferase
201	B.cenocepacia_MC0-3_MscS
202	B.cenocepacia_MC0-3_secretion
203	B.cenocepacia_MC0-3_catalase
204	B.cenocepacia_MC0-3_ankyrin
205	B.cenocepacia_MC0-3_periplasmic
206	B.cenocepacia_MC0-3_pseudomonalisin
207	B.cenocepacia_MC0-3_flavin-nucleotide-binding
208	B.cenocepacia_MC0-3_30S
209	B.cenocepacia_MC0-3_polyprenyl
210	B.cenocepacia_MC0-3_exodeoxyribonuclease
211	B.cenocepacia_MC0-3_rhodanese
212	B.cenocepacia_MC0-3_carboxymethylenebutenolidase
213	B.cenocepacia_MC0-3_FAD-dependent
214	B.cenocepacia_MC0-3_AMP
215	B.cenocepacia_MC0-3_homoserine
216	B.cenocepacia_MC0-3_OsmC
217	B.cenocepacia_MC0-3_PHB
218	B.cenocepacia_MC0-3_PA-phosphatase-like
219	B.cenocepacia_MC0-3_molybdate
220	B.cenocepacia_MC0-3_CHAD
221	B.cenocepacia_MC0-3_thiamine
222	B.cenocepacia_MC0-3_glycoside
223	B.cenocepacia_MC0-3_metallophosphoesterase
224	B.cenocepacia_MC0-3_RES
225	B.cenocepacia_MC0-3_cationic
226	B.cenocepacia_MC0-3_GtrA
227	B.cenocepacia_MC0-3_metal-dependent
228	B.cenocepacia_MC0-3_FKBP-type
229	B.cenocepacia_MC0-3_glycosyl
230	B.cenocepacia_MC0-3_exopolysaccharide
231	B.cenocepacia_MC0-3_protein
232	B.cenocepacia_MC0-3_nucleotide
233	B.cenocepacia_MC0-3_Fe-S
234	B.cenocepacia_MC0-3_rubrerythrin
235	B.cenocepacia_MC0-3_RNA
236	B.cenocepacia_MC0-3_DGPFAETKE
237	B.cenocepacia_MC0-3_manganese
238	B.cenocepacia_MC0-3_Dyp-type
239	B.cenocepacia_MC0-3_riboflavin
240	B.cenocepacia_MC0-3_chemotaxis-specific
241	B.cenocepacia_MC0-3_CheW
242	B.cenocepacia_MC0-3_acetolactate
243	B.cenocepacia_MC0-3_muconolactone
244	B.cenocepacia_MC0-3_argininosuccinate
245	B.cenocepacia_MC0-3_nicotinamide
246	B.cenocepacia_MC0-3_copper
247	B.cenocepacia_MC0-3_multicopper
248	B.cenocepacia_MC0-3_cyanate
249	B.cenocepacia_MC0-3_carbonate
250	B.cenocepacia_MC0-3_membrane-anchored
251	B.cenocepacia_MC0-3_Beta-lactamase
252	B.cenocepacia_MC0-3_oxidoreductase
253	B.cenocepacia_MC0-3_histidine
254	B.cenocepacia_MC0-3_AzlC
255	B.cenocepacia_MC0-3_branched-chain
256	B.cenocepacia_MC0-3_stationary-phase
257	B.cenocepacia_MC0-3_AbrB
258	B.cenocepacia_MC0-3_alpha-1,2-mannosidase
259	B.cenocepacia_MC0-3_pyridoxal-dependent
260	B.cenocepacia_MC0-3_redoxin
261	B.cenocepacia_MC0-3_transposase
262	B.cenocepacia_MC0-3_fucose-binding
263	B.cenocepacia_HI2424_short
264	B.cenocepacia_MC0-3_chaperone
265	B.cenocepacia_MC0-3_Crp/FNR
266	B.cenocepacia_MC0-3_3-oxoadipate
267	B.cenocepacia_MC0-3_UspA
268	B.cenocepacia_MC0-3_chromosome
269	B.cenocepacia_MC0-3_PadR-like
270	B.cenocepacia_MC0-3_acetoacetate
271	B.cenocepacia_MC0-3_3-hydroxybutyrate
272	B.cenocepacia_MC0-3_patatin
273	B.cenocepacia_MC0-3_L-threonine
274	B.cenocepacia_MC0-3_NADPH-dependent
275	B.cenocepacia_MC0-3_CheC,
276	B.cenocepacia_MC0-3_PRC-barrel
277	B.cenocepacia_MC0-3_hemolysin
278	B.cenocepacia_MC0-3_DOPA
279	B.cenocepacia_MC0-3_4-hydroxy-3-methylbut-2-enyl
280	B.cenocepacia_MC0-3_hopanoid-associated
281	B.cenocepacia_MC0-3_oligopeptide/dipeptide
282	B.cenocepacia_MC0-3_2-methylisocitrate
283	B.cenocepacia_MC0-3_thioesterase
284	B.cenocepacia_MC0-3_trans-2-enoyl-CoA
285	B.cenocepacia_MC0-3_integral
286	B.cenocepacia_MC0-3_isoprenylcysteine
287	B.cenocepacia_MC0-3_17
288	B.cenocepacia_MC0-3_aminoglycoside/hydroxyurea
289	B.cenocepacia_MC0-3_hemin
290	B.cenocepacia_MC0-3_2,5-diketo-D-gluconate
291	B.cenocepacia_MC0-3_glucose-6-phosphate
292	B.cenocepacia_MC0-3_carboxylate-amine
293	B.cenocepacia_MC0-3_general
294	B.cenocepacia_MC0-3_flagellar
295	B.cenocepacia_MC0-3_ubiquinone
296	B.cenocepacia_MC0-3_cell
297	B.cenocepacia_MC0-3_phospho-N-acetylmuramoyl-pentapeptide-
298	B.cenocepacia_MC0-3_polypeptide-transport-associated
299	B.cenocepacia_MC0-3_UDP-3-O-[3-hydroxymyristoyl]
300	B.cenocepacia_MC0-3_NUDIX
301	B.thailandensis_MSMB121
302	B.cenocepacia_MC0-3_50S
303	B.cenocepacia_MC0-3_hypoxanthine-guanine
304	B.cenocepacia_MC0-3_ribonucleotide-diphosphate
305	B.cenocepacia_MC0-3_ribokinase-like
306	B.cenocepacia_MC0-3_acetyl-CoA
307	B.cenocepacia_MC0-3_L-arabinose
308	B.cenocepacia_MC0-3_guanine-specific
309	B.cenocepacia_MC0-3_transketolase
310	B.cenocepacia_MC0-3_glyceraldehyde-3-phosphate
311	B.cenocepacia_MC0-3_C4-dicarboxylate
312	B.cenocepacia_MC0-3_ferric
313	B.cenocepacia_MC0-3_SmpA/OmlA
314	B.cenocepacia_MC0-3_2-dehydro-3-deoxyphosphogluconate
315	B.cenocepacia_MC0-3_Glu/Leu/Phe/Val
316	B.cenocepacia_MC0-3_polar
317	B.cenocepacia_MC0-3_iron-sulfur
318	B.cenocepacia_MC0-3_D-tyrosyl-tRNA(Tyr)
319	B.cenocepacia_MC0-3_Holliday
320	B.cenocepacia_MC0-3_NifR3
321	B.cenocepacia_MC0-3_paraquat-inducible
322	B.cenocepacia_MC0-3_preprotein
323	B.cenocepacia_MC0-3_ferritin
324	B.cenocepacia_MC0-3_glycolate
325	B.cenocepacia_MC0-3_ATP--cobalamin
326	B.cenocepacia_MC0-3_phospho-2-dehydro-3-deoxyheptonate
327	B.cenocepacia_MC0-3_heat-inducible
328	B.cenocepacia_MC0-3_heat
329	B.cenocepacia_MC0-3_molecular
330	B.cenocepacia_MC0-3_3-methyl-2-oxobutanoate
331	B.cenocepacia_MC0-3_2-amino-4-hydroxy-6-
332	B.cenocepacia_MC0-3_HAD
333	B.cenocepacia_MC0-3_phosphoribosylaminoimidazole
334	B.cenocepacia_MC0-3_alkylhydroperoxidase
335	B.cenocepacia_MC0-3_tol-pal
336	B.cenocepacia_MC0-3_peroxidase
337	B.cenocepacia_MC0-3_co-chaperonin
338	B.cenocepacia_MC0-3_dTDP-4-dehydrorhamnose
339	B.cenocepacia_MC0-3_urease
340	B.cenocepacia_MC0-3_undecaprenyl
341	B.cenocepacia_MC0-3_transcription
342	B.cenocepacia_MC0-3_6,7-dimethyl-8-ribityllumazine
343	B.cenocepacia_MC0-3_thioredoxin
344	B.cenocepacia_MC0-3_N-acetyltransferase
345	B.cenocepacia_MC0-3_coproporphyrinogen
346	B.thailandensis_USAMRU
347	B.cenocepacia_MC0-3_disulfide
348	B.cenocepacia_MC0-3_3-demethylubiquinone-9
349	B.cenocepacia_MC0-3_cytidylate
350	B.cenocepacia_MC0-3_integration
351	B.cenocepacia_MC0-3_ADP-L-glycero-D-manno-heptose-6-epimerase
352	B.cenocepacia_MC0-3_helix-hairpin-helix
353	B.cenocepacia_MC0-3_cysteine
354	B.cenocepacia_MC0-3_CobD/CbiB
355	B.cenocepacia_MC0-3_oligoribonuclease
356	B.cenocepacia_MC0-3_thymidylate
357	B.cenocepacia_MC0-3_fumarate
358	B.cenocepacia_MC0-3_MATE
359	B.cenocepacia_MC0-3_CreA
360	B.cenocepacia_MC0-3_4Fe-4S
361	B.cenocepacia_MC0-3_uroporphyrin-III
362	B.cenocepacia_MC0-3_3-ketoacyl-ACP
363	B.cenocepacia_MC0-3_protease
364	B.cenocepacia_MC0-3_GTP-binding
365	B.cenocepacia_MC0-3_signal
366	B.cenocepacia_MC0-3_elongation
367	B.cenocepacia_MC0-3_CDP-diacylglycerol--glycerol-3-phosphate
368	B.cenocepacia_MC0-3_electron
369	B.cenocepacia_MC0-3_glucarate
370	B.cenocepacia_MC0-3_hopanoid
371	B.cenocepacia_MC0-3_peptidyl-tRNA
372	B.cenocepacia_H111_Osmotically
373	B.cenocepacia_MC0-3_malonate
374	B.cenocepacia_MC0-3_ribosomal
